Date,grand_total_weight,actual_cost,rate_landfill,hypothetical_cost,monthly_savings,cumulative_savings
2018-02-01,294226.0,26495.6,0.11738778015613197,34538.53700421808,8042.937004218082,345370.58258722187
2018-03-01,343252.0,26073.14,0.09677688445404856,33218.85914262108,7145.7191426210775,352516.30172984296
2018-04-01,449085.0,28055.0,0.1024453775655992,46006.68238404712,17951.68238404712,370467.9841138901
2018-05-01,365908.0,34062.62,0.10585847389558234,38734.46246618474,4671.842466184738,375139.82658007485
2018-06-01,444805.0,64639.92,0.21507266040819747,95665.39471286828,31025.47471286828,406165.3012929431
2018-07-01,263201.0,21145.39,0.12380604050279331,32585.873666375704,11440.483666375705,417605.7849593188
2018-08-01,311020.0,28114.74,0.13415780637940686,41725.760940123124,13611.020940123122,431216.80589944194
2018-09-01,342581.0,35367.18,0.15475902170003597,53017.500413020025,17650.320413020025,448867.126312462
2018-10-01,363548.0,37867.44,0.13287004969131155,48304.64082517693,10437.20082517693,459304.32713763893
2018-11-01,331780.0,33916.770000000004,0.12199347393128956,40474.994780923254,6558.22478092325,465862.55191856215
2018-12-01,284096.0,30143.879999999997,0.15157798247182971,43062.698508316935,12918.818508316937,478781.3704268791
2019-01-01,297374.36,28761.9,0.11278669164359016,33539.87024402997,4777.970244029966,483559.34067090903
2019-02-01,357035.31,34671.16,0.11447717593098176,40872.39399644261,6201.233996442606,489760.57466735167
2019-03-01,371813.7,36002.94,0.11864200139649407,44112.72151463563,8109.78151463563,497870.3561819873
2019-04-01,401574.83,43588.649999999994,0.14724998767197595,59131.88876687584,15543.238766875846,513413.59494886314
2019-05-01,380992.0,37749.45,0.11981958330537476,45650.302682681344,7900.852682681347,521314.4476315445
2019-06-01,432139.62,69634.33,0.1937640613095505,83733.12782396586,14098.797823965855,535413.2454555103
2019-07-01,270077.73,26611.63,0.13247521246458924,35778.60466370396,9166.97466370396,544580.2201192143
2019-08-01,310454.0,30313.98,0.1512088205813565,46943.383184764454,16629.403184764455,561209.6233039787
2019-09-01,344781.37,38221.76,0.15871629042098842,54722.42005266626,16500.66005266626,577710.2833566449
2019-10-01,402586.0,40301.62,0.12220454104405201,49197.83736076072,8896.217360760718,586606.5007174056
2019-11-01,342394.0,33967.72,0.12778621670158635,43753.23388132296,9785.513881322957,596392.0145987285
2019-12-01,361010.0,37750.19,0.1374868261045805,49634.119092014604,11883.929092014601,608275.9436907431
2020-01-01,361705.55,37776.81,0.12878108452309137,46580.83300702125,8804.02300702125,617079.9666977644
2020-02-01,352032.0,35774.36,0.12051339049433683,42424.56988250239,6650.209882502386,623730.1765802668
2020-03-01,328692.0,32597.300000000003,0.13161226927671382,43259.90001310162,10662.600013101619,634392.7765933684
2020-04-01,179512.0,20593.0,0.29386122569239836,52751.616346493814,32158.616346493814,666551.3929398622
2020-05-01,163124.0,14821.16,0.2724845160148647,44448.76419040879,29627.604190408787,696178.997130271
2020-06-01,222324.0,20344.670000000002,0.1842246898759504,40957.5699519808,20612.899951980795,716791.8970822518
2020-07-01,142564.0,24146.97,0.24980150581793292,35612.70187542779,11465.731875427788,728257.6289576796
2020-08-01,86492.0,9987.25,0.171316120906801,14817.473929471033,4830.2239294710325,733087.8528871506
2020-09-01,88264.0,10396.060000000001,0.20896434330765096,18444.028797706505,8047.968797706504,741135.8216848571
2020-10-01,130284.0,14003.93,0.15314484827099506,19952.32341213832,5948.393412138321,747084.2150969955
2020-11-01,84960.0,8793.18,0.11472353974527888,9746.911936758894,953.7319367588934,748037.9470337543
